      5,594,419  GC Heap bytes
         63,830  GC Heap objects

   Object Bytes     Count  Type
        134,764         2  System.Byte[] (Bytes > 100K)  [System.Private.CoreLib.dll]
         98,352         1  System.Int32[] (Bytes > 10K)  [System.Private.CoreLib.dll]
         36,914         4  System.Byte[] (Bytes > 10K)  [System.Private.CoreLib.dll]
         22,080         3  Bucket[] (Bytes > 10K)  [System.Private.CoreLib.dll]
         16,344         2  System.Object[] (Bytes > 10K)  [System.Private.CoreLib.dll]
          9,264         2  System.Text.Encodings.Web.OptimizedInboxTextEncoder (Bytes > 1K)  [System.Text.Encodings.Web.dll]
          7,056         1  Entry<System.Type,System.Xaml.XamlType>[] (Bytes > 1K)  [System.Private.CoreLib.dll]
          6,168         1  System.Windows.DependencyProperty[] (Bytes > 1K)  [WindowsBase.dll]
          6,104         1  System.Windows.Baml2006.WpfKnownType[] (Bytes > 1K)  [PresentationFramework.dll]
          5,422         2  System.String (Bytes > 1K)  [System.Private.CoreLib.dll]
          4,752         1  Entry<System.String,System.Windows.Media.KnownColor>[] (Bytes > 1K)  [System.Private.CoreLib.dll]
          4,752         1  Entry<System.ComponentModel.PropertyDescriptor,MS.Internal.ComponentModel.DependencyObjectPropertyDescriptor>[] (Bytes > 1K)  [System.Private.CoreLib.dll]
          4,752         1  Entry<System.Type,System.Windows.DependencyObjectType>[] (Bytes > 1K)  [System.Private.CoreLib.dll]
          4,752         1  Entry<System.IntPtr,System.Collections.Generic.List<SwitchBlade.Contracts.WindowItem>>[] (Bytes > 1K)  [System.Private.CoreLib.dll]
          4,336         2  System.Byte[] (Bytes > 1K)  [System.Private.CoreLib.dll]
          4,120         6  System.Reflection.RuntimeMethodInfo[] (Bytes > 1K)  [System.Private.CoreLib.dll]
          4,120         1  System.Windows.Baml2006.KeyRecord[] (Bytes > 1K)  [PresentationFramework.dll]
          4,024         1  LogEntry[] (Bytes > 1K)  [System.Private.CoreLib.dll]
          3,864         2  System.Windows.ClassHandlers[] (Bytes > 1K)  [PresentationCore.dll]
          3,176         2  Entry<SwitchBlade.Contracts.WindowItem>[] (Bytes > 1K)  [System.Private.CoreLib.dll]
          2,928         1  System.Windows.Dependent[] (Bytes > 1K)  [WindowsBase.dll]
          2,872         1  Entry<System.String,System.Resources.ResourceLocator>[] (Bytes > 1K)  [System.Private.CoreLib.dll]
          2,424         2  System.String[] (Bytes > 1K)  [System.Private.CoreLib.dll]
